speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
robpoc1,Rosy-billed Pochard,Netta peposaca,L2088175,Casa de Lata--Laguna,2018-10-02 10:50,5.0,-40.7067666,-73.1433249,False,-1,Los Lagos
jamfla1,James's Flamingo,Phoenicoparrus jamesi,L668852,Río Lluta--Desembocadura,2018-10-02 09:00,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
cinhar1,Cinereous Harrier,Circus cinereus,L775567,MN La Portada,2018-10-03 16:30,1.0,-23.5039652,-70.4259038,False,-1,Antofagasta
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L7985242,Indomo,2018-10-03 16:30,2.0,-33.4609726,-71.4013582,True,-1,Valparaíso
bkfibi2,Andean Ibis,Theristicus branickii,L4313484,Valle del Río Lluta--Poconchile,2018-10-03 11:00,7.0,-18.4518884,-70.0663054,False,-1,Arica y Parinacota
jamfla1,James's Flamingo,Phoenicoparrus jamesi,L8090405,Humedal río Lluta,2018-10-03 10:30,1.0,-18.4190977,-70.3169683,True,-1,Arica y Parinacota
soater1,South American Tern,Sterna hirundinacea,L8090405,Humedal río Lluta,2018-10-03 10:30,300.0,-18.4190977,-70.3169683,True,-1,Arica y Parinacota
brnowl,Barn Owl,Tyto alba,L774555,Campus Sur -  Universidad de Chile,2018-10-04 17:45,1.0,-33.5708994,-70.6356955,False,-1,Región Metropolitana de Santiago
shicow,Shiny Cowbird,Molothrus bonariensis,L807764,Las Quemas Altas,2018-10-04 16:30,72.0,-40.6284479,-73.117919,False,-1,Los Lagos
wtsfin1,White-throated Sierra Finch,Idiopsar erythronotus,L572426,PN Lauca--Las Cuevas,2018-10-04 11:30,6.0,-18.1670566,-69.4337654,False,-1,Arica y Parinacota
brnboo,Brown Booby,Sula leucogaster,L3013157,Motu Nui / Motu Iti,2018-10-04 11:00,1.0,-27.2000032,-109.4542229,False,-1,Valparaíso
pattin1,Patagonian Tinamou,Tinamotis ingoufi,L8005600,Kilómetro 35,2018-10-04 10:44,4.0,-52.208245,-69.0314632,True,-1,Magallanes
siltea1,Silver Teal,Spatula versicolor,L7988231,"Hualpén, Región del Bío Bío, CL (-36,774, -73,131)",2018-10-04 10:00,5.0,-36.7737168,-73.13075,True,-1,Bío-Bío
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L572759,PN La Campana--Ocoa,2018-10-04 09:18,1.0,-32.9273735,-71.0856199,False,-1,Valparaíso
musduc,Muscovy Duck,Cairina moschata,L582952,Estero Marga Marga--Desembocadura,2018-10-05 20:54,1.0,-33.0196359,-71.5619856,False,1,Valparaíso
