REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
V,NOGALES,17,"0,00","0,00","0,00","0,00","0,04","0,00","0,04","0,62","21,24","13,38","35,24","35,28","1,50","3,71","5,21","40,49"
V,QUILLOTA,17,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,80","2,76","2,94","7,50","7,50","0,00","0,09","0,09","7,59"
V,CASABLANCA,27,"0,20","0,29","10,35","10,84","2,80","0,00","13,64","6,35","14,43","15,80","36,58","50,22","0,00","0,41","0,41","50,63"
V,CONCON,4,"0,10","0,13","0,00","0,23","0,03","0,00","0,26","0,00","0,16","0,01","0,17","0,43","0,00","0,20","0,20","0,63"
V,PUCHUNCAVI,7,"0,03","0,00","0,00","0,03","10,30","0,00","10,33","1,41","6,70","8,10","16,21","26,54","0,00","0,00","0,00","26,54"
V,QUINTERO,25,"0,00","0,01","0,18","0,19","2,55","0,00","2,74","2,21","6,65","6,25","15,11","17,85","0,00","0,18","0,18","18,03"
V,VALPARAISO,97,"2,49","0,36","158,38","161,23","126,15","0,00","287,38","17,87","225,13","80,22","323,22","610,60","0,00","24,87","24,87","635,47"
V,VINA DEL MAR,22,"0,00","0,00","0,00","0,00","0,01","0,01","0,02","0,50","2,99","1,72","5,21","5,23","0,00","0,24","0,24","5,47"
V,JUAN FERNANDEZ,,,,,,,,,,,,,,,,,
V,ALGARROBO,9,"0,00","0,04","0,00","0,04","2,00","0,00","2,04","23,30","25,58","22,68","71,56","73,60","0,00","0,10","0,10","73,70"
V,CARTAGENA,4,"0,00","0,00","0,00","0,00","0,20","0,00","0,20","2,70","1,50","2,30","6,50","6,70","0,00","0,00","0,00","6,70"
V,EL QUISCO,1,"0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,00","0,00","0,10","0,10","0,20","0,00","0,00","0,00","0,20"
V,EL TABO,2,"0,01","0,00","0,00","0,01","0,00","0,00","0,01","0,01","0,00","0,09","0,10","0,11","0,00","0,01","0,01","0,12"
V,SAN ANTONIO,21,"0,00","0,00","1,90","1,90","39,72","0,00","41,62","99,64","135,27","54,46","289,37","330,99","0,00","0,06","0,06","331,05"
V,SANTO DOMINGO,8,"0,00","0,00","0,00","0,00","0,52","0,00","0,52","0,00","0,45","2,95","3,40","3,92","0,00","0,52","0,52","4,44"
V,ISLA DE PASCUA,63,"0,00","0,00","0,00","0,00","12,30","0,00","12,30","167,47","95,19","532,03","794,69","806,99","0,00","0,00","0,00","806,99"
V,LIMACHE,8,"0,00","0,00","0,08","0,08","0,00","0,00","0,08","14,10","9,60","4,74","28,44","28,52","0,00","2,15","2,15","30,67"
V,OLMUE,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,03","0,01","0,05","0,05","0,00","0,00","0,00","0,05"
V,QUILPUE,13,"0,00","0,00","0,00","0,00","0,46","0,00","0,46","0,20","0,85","0,77","1,82","2,28","0,00","0,00","0,00","2,28"
V,VILLA ALEMANA,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,06","0,28","0,21","0,55","0,55","0,00","0,03","0,03","0,58"
VI,RANCAGUA,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,50","0,21","4,42","10,13","10,13","0,70","0,00","0,70","10,83"
VI,MACHALI,1,"0,00","0,00","0,00","0,00","0,22","0,00","0,22","0,00","0,10","0,50","0,60","0,82","0,00","0,00","0,00","0,82"
VI,GRANEROS,1,"0,00","0,00","0,00","0,00","0,20","0,00","0,20","0,00","0,20","0,30","0,50","0,70","0,00","0,00","0,00","0,70"
